Word,block,response,totcount,theword,proportion
Butterfly,solidity,Not a solid,29,나비,0.10344827586206896
Butterfly,solidity,Solid,29,나비,0.6551724137931034
Button,category_organization,Form,29,단추,0.6551724137931034
Button,category_organization,"Form, Color",29,단추,0.06896551724137931
Button,category_organization,"Form, Color, Material",29,단추,0.06896551724137931
Button,category_organization,"Form, Material",29,단추,0.13793103448275862
Button,category_organization,Material,29,단추,0.06896551724137931
Button,count_mass,Can be counted,30,단추,0.8666666666666667
Button,count_mass,Cannot be counted,30,단추,0.06666666666666667
Button,count_mass,I don't know/It's hard to say,30,단추,0.06666666666666667
Button,solidity,I don't know/It's hard to say,30,단추,0.06666666666666667
Button,solidity,Solid,30,단추,0.9333333333333333
Cake,category_organization,Form,29,케이크,0.4827586206896552
Cake,category_organization,"Form, Color",29,케이크,0.06896551724137931
Cake,category_organization,"Form, Color, Material",29,케이크,0.1724137931034483
Cake,category_organization,"Form, Material",29,케이크,0.1724137931034483
Cake,category_organization,Material,29,케이크,0.10344827586206896
Cake,count_mass,Can be counted,32,케이크,0.8125
Cake,count_mass,Cannot be counted,32,케이크,0.0625
Cake,count_mass,I don't know/It's hard to say,32,케이크,0.125
Cake,solidity,I don't know/It's hard to say,30,케이크,0.13333333333333333
Cake,solidity,Not a solid,30,케이크,0.16666666666666666
Cake,solidity,Solid,30,케이크,0.7
Calf,category_organization,Form,29,송아지,0.7586206896551724
Calf,category_organization,"Form, Color",29,송아지,0.034482758620689655
Calf,category_organization,"Form, Color, Material",29,송아지,0.13793103448275862
Calf,category_organization,"Form, Material",29,송아지,0.034482758620689655
Calf,category_organization,Material,29,송아지,0.034482758620689655
Calf,count_mass,Can be counted,36,송아지,0.8055555555555556
Calf,count_mass,I don't know/It's hard to say,36,송아지,0.19444444444444445
Calf,solidity,I don't know/It's hard to say,29,송아지,0.2413793103448276
Calf,solidity,Not a solid,29,송아지,0.10344827586206896
Calf,solidity,Solid,29,송아지,0.6551724137931034
Camera,category_organization,Color,29,카메라,0.034482758620689655
Camera,category_organization,Form,29,카메라,0.7241379310344828
Camera,category_organization,"Form, Color, Material",29,카메라,0.06896551724137931
Camera,category_organization,"Form, Material",29,카메라,0.13793103448275862
Camera,category_organization,Material,29,카메라,0.034482758620689655
Camera,count_mass,Can be counted,30,카메라,0.9333333333333333
Camera,count_mass,I don't know/It's hard to say,30,카메라,0.06666666666666667
Camera,solidity,I don't know/It's hard to say,30,카메라,0.06666666666666667
Camera,solidity,Solid,30,카메라,0.9333333333333333
Candy,category_organization,"Color, Material",29,사탕,0.034482758620689655
Candy,category_organization,Form,29,사탕,0.3793103448275862
Candy,category_organization,"Form, Color",29,사탕,0.034482758620689655
Candy,category_organization,"Form, Color, Material",29,사탕,0.06896551724137931
Candy,category_organization,"Form, Material",29,사탕,0.3103448275862069
Candy,category_organization,Material,29,사탕,0.13793103448275862
Candy,category_organization,Not applicable,29,사탕,0.034482758620689655
Candy,count_mass,Can be counted,32,사탕,0.875
Candy,count_mass,I don't know/It's hard to say,32,사탕,0.125
Candy,solidity,I don't know/It's hard to say,30,사탕,0.13333333333333333
Candy,solidity,Not a solid,30,사탕,0.06666666666666667
Candy,solidity,Solid,30,사탕,0.8
Car,category_organization,Form,28,차/자동차,0.6071428571428571
Car,category_organization,"Form, Color",28,차/자동차,0.03571428571428571
Car,category_organization,"Form, Color, Material",28,차/자동차,0.03571428571428571
Car,category_organization,"Form, Material",28,차/자동차,0.25
Car,category_organization,Material,28,차/자동차,0.07142857142857142
Car,count_mass,Can be counted,30,차/자동차,0.9333333333333333
Car,count_mass,I don't know/It's hard to say,30,차/자동차,0.06666666666666667
Car,solidity,I don't know/It's hard to say,30,차/자동차,0.06666666666666667
Car,solidity,Solid,30,차/자동차,0.9333333333333333
Carbonated Drink,category_organization,"Color, Material",29,사이다,0.10344827586206896
Carbonated Drink,category_organization,Form,29,사이다,0.27586206896551724
Carbonated Drink,category_organization,"Form, Color",29,사이다,0.034482758620689655
Carbonated Drink,category_organization,"Form, Color, Material",29,사이다,0.034482758620689655
Carbonated Drink,category_organization,"Form, Material",29,사이다,0.27586206896551724
Carbonated Drink,category_organization,Material,29,사이다,0.20689655172413793
Carbonated Drink,category_organization,Not applicable,29,사이다,0.06896551724137931
Carbonated Drink,count_mass,Can be counted,32,사이다,0.59375
Carbonated Drink,count_mass,Cannot be counted,32,사이다,0.09375
Carbonated Drink,count_mass,I don't know/It's hard to say,32,사이다,0.3125
Carbonated Drink,solidity,I don't know/It's hard to say,36,사이다,0.2777777777777778
Carbonated Drink,solidity,Not a solid,36,사이다,0.6388888888888888
Carbonated Drink,solidity,Solid,36,사이다,0.08333333333333333
Carrot,category_organization,"Color, Material",29,당근,0.034482758620689655
Carrot,category_organization,Form,29,당근,0.4482758620689655
Carrot,category_organization,"Form, Color",29,당근,0.13793103448275862
Carrot,category_organization,"Form, Color, Material",29,당근,0.1724137931034483
Carrot,category_organization,"Form, Material",29,당근,0.10344827586206896
Carrot,category_organization,Material,29,당근,0.034482758620689655
Carrot,category_organization,Not applicable,29,당근,0.06896551724137931
Carrot,count_mass,Can be counted,32,당근,0.90625
Carrot,count_mass,I don't know/It's hard to say,32,당근,0.09375
Carrot,solidity,I don't know/It's hard to say,29,당근,0.10344827586206896
Carrot,solidity,Not a solid,29,당근,0.06896551724137931
Carrot,solidity,Solid,29,당근,0.8275862068965517
Cat,category_organization,Form,29,고양이,0.7241379310344828
Cat,category_organization,"Form, Color",29,고양이,0.06896551724137931
Cat,category_organization,"Form, Color, Material",29,고양이,0.06896551724137931
Cat,category_organization,"Form, Material",29,고양이,0.10344827586206896
Cat,category_organization,Material,29,고양이,0.034482758620689655
Cat,count_mass,Can be counted,36,고양이,0.8055555555555556
Cat,count_mass,I don't know/It's hard to say,36,고양이,0.19444444444444445
Cat,solidity,I don't know/It's hard to say,29,고양이,0.2413793103448276
Cat,solidity,Not a solid,29,고양이,0.13793103448275862
Cat,solidity,Solid,29,고양이,0.6206896551724138
Chair,category_organization,Form,29,의자,0.6551724137931034
