theword,block,response,totcount,eng_response,proportion
유모차,category_organization,형태,4,form,1
유모차,solidity,고형물,3,solid,1
유모차,solidity,고형물,3,solid,1
유모차,solidity,고형물,3,solid,1
음식,category_organization,물질,2,substance,1
음식,category_organization,물질,2,substance,1
음식,count_mass,잘 모르겠다/구분이 어렵다,1,not sure,1
의자,category_organization,형태,1,form,1
의자,count_mass,셀 수 있다,2,countable,1
의자,count_mass,셀 수 있다,2,countable,1
의자,solidity,고형물,3,solid,1
의자,solidity,고형물,3,solid,1
의자,solidity,고형물,3,solid,1
이/이빨,category_organization,형태,2,form,1
이/이빨,category_organization,형태,2,form,1
이/이빨,count_mass,셀 수 있다,2,countable,1
이/이빨,count_mass,셀 수 있다,2,countable,1
이/이빨,solidity,고형물,2,solid,1
이/이빨,solidity,고형물,2,solid,1
이불,category_organization,물질,2,substance,0.5
이불,category_organization,형태,2,form,0.5
이불,count_mass,셀 수 있다,2,countable,1
이불,count_mass,셀 수 있다,2,countable,1
인형,category_organization,물질,1,substance,1
인형,count_mass,셀 수 있다,1,countable,1
인형,solidity,고형물,2,solid,1
인형,solidity,고형물,2,solid,1
입,category_organization,형태,3,form,1
입,category_organization,형태,3,form,1
입,category_organization,형태,3,form,1
입,count_mass,셀 수 있다,1,countable,1
입,solidity,비고형물,1,non-solid,1
입술,category_organization,형태,1,form,1
입술,count_mass,셀 수 있다,4,countable,1
입술,count_mass,셀 수 있다,4,countable,1
입술,count_mass,셀 수 있다,4,countable,1
입술,count_mass,셀 수 있다,4,countable,1
자전거,category_organization,물질,1,substance,1
자전거,count_mass,셀 수 있다,2,countable,1
자전거,count_mass,셀 수 있다,2,countable,1
자전거,solidity,고형물,2,solid,1
자전거,solidity,고형물,2,solid,1
잠바,category_organization,형태,1,form,1
잠바,count_mass,셀 수 있다,1,countable,1
잠바,solidity,고형물,4,solid,0.75
잠바,solidity,고형물,4,solid,0.75
잠바,solidity,고형물,4,solid,0.75
잠바,solidity,비고형물,4,non-solid,0.25
